iter	Logloss
0	0.6820843735
1	0.6726003151
2	0.6639424448
3	0.6562261145
4	0.6492552989
5	0.6435376461
6	0.6387858361
7	0.6338848538
8	0.6292355463
9	0.6256001072
10	0.6228882338
11	0.6196187643
12	0.6166691481
13	0.6140570753
14	0.6120655008
15	0.6107010998
16	0.6089135895
17	0.6074172325
18	0.6062779437
19	0.6048206306
20	0.6034616665
21	0.6017687925
22	0.6005231402
23	0.5995848781
24	0.5987963037
25	0.5980338006
26	0.5973438764
27	0.5961582906
28	0.5951245305
29	0.5943835788
30	0.5934078033
31	0.5927259471
32	0.592239643
33	0.5916870202
34	0.5911992668
35	0.5907353615
36	0.5903021991
37	0.5896707316
38	0.5893091838
39	0.5889398861
40	0.5885638315
41	0.5881844249
42	0.5877690805
43	0.5872690165
44	0.5868061156
45	0.5865333794
46	0.5861898957
47	0.5859143019
48	0.5856720318
49	0.585213144
50	0.5850036281
51	0.584764439
52	0.5845609199
53	0.5843559871
54	0.5840604698
55	0.5838620538
56	0.5835783809
57	0.5830998777
58	0.5829407061
59	0.5827761053
60	0.5825146874
61	0.5823434884
62	0.5820063364
63	0.5818424617
64	0.5815385141
65	0.5814207328
66	0.5813121584
67	0.5811705761
68	0.5810042587
69	0.5807846093
70	0.5806932423
71	0.5805574
72	0.5804334868
73	0.5803421339
74	0.5802485421
75	0.580136189
76	0.5800510434
77	0.5799331446
78	0.5798384429
79	0.5797283748
80	0.5796573979
81	0.5795162214
82	0.5794203649
83	0.5793346335
84	0.5792514083
85	0.5791488521
86	0.5790553346
87	0.5789917654
88	0.5789052782
89	0.5788210405
90	0.5787513533
91	0.5786714213
92	0.5785803285
93	0.5785200573
94	0.5784448205
95	0.578353907
96	0.57829584
97	0.5781196231
98	0.5780571559
99	0.5780008399
100	0.5779030722
101	0.5778374012
102	0.5777719521
103	0.5776701269
104	0.5776043469
105	0.5775395147
106	0.5773864129
107	0.5772961674
108	0.5772518143
109	0.5771849568
110	0.5771357634
111	0.5771016656
112	0.577053827
113	0.5770090517
114	0.5769575226
115	0.5769252791
116	0.5768838485
117	0.5768453507
118	0.5767913459
119	0.5766802437
120	0.576646861
121	0.576581809
122	0.5765309237
123	0.5764877519
124	0.5764587041
125	0.5764248873
126	0.5763743882
127	0.5763376828
128	0.5762982775
129	0.576264522
130	0.5762242503
131	0.5761773536
132	0.5761491379
133	0.5760897748
134	0.5760539143
135	0.5760235916
136	0.5759848053
137	0.5759525297
138	0.5759210482
139	0.5758913166
140	0.5758577727
141	0.5758341506
142	0.5757876812
143	0.5757673704
144	0.5757265939
145	0.5756954439
146	0.5755893695
147	0.5755610731
148	0.5755374901
149	0.5755242825
150	0.5754895944
151	0.5754562566
152	0.5754211963
153	0.575394326
154	0.5753668798
155	0.5753405428
156	0.5753095861
157	0.5752830031
158	0.5752545439
159	0.5752274802
