iter	Passed	Remaining
0	100	68927
1	173	59178
2	251	57187
3	324	55122
4	400	54354
5	474	53639
6	553	53548
7	611	51694
8	676	50727
9	743	50094
10	812	49735
11	879	49255
12	948	48967
13	1005	48113
14	1069	47713
15	1125	46988
16	1187	46586
17	1261	46676
18	1322	46297
19	1391	46192
20	1458	46053
21	1527	45954
22	1594	45811
23	1659	45640
24	1715	45221
25	1780	45060
26	1851	45064
27	1923	45070
28	2013	45467
29	2083	45430
30	2170	45721
31	2242	45697
32	2308	45533
33	2376	45440
34	2448	45392
35	2506	45122
36	2573	44993
37	2639	44874
38	2700	44658
39	2767	44562
40	2832	44428
41	2891	44196
42	2955	44060
43	3034	44140
44	3103	44071
45	3163	43871
46	3226	43730
47	3294	43650
48	3362	43573
49	3432	43527
50	3500	43447
51	3567	43362
52	3630	43217
53	3691	43066
54	3749	42880
55	3816	42793
56	3886	42756
57	3954	42679
58	4009	42473
59	4078	42417
60	4149	42376
61	4210	42240
62	4270	42094
63	4336	42005
64	4395	41854
65	4459	41755
66	4527	41697
67	4592	41605
68	4660	41542
69	4719	41397
70	4783	41297
71	4843	41169
72	4910	41102
73	4981	41060
74	5041	40939
75	5113	40905
76	5173	40782
77	5238	40697
78	5308	40654
79	5370	40548
80	5434	40454
81	5496	40354
82	5568	40317
83	5629	40207
84	5690	40097
85	5760	40056
86	5822	39957
87	5881	39834
88	5942	39729
89	6012	39682
90	6087	39668
91	6147	39555
92	6216	39507
93	6287	39461
94	6345	39344
95	6406	39239
96	6476	39192
97	6535	39078
98	6597	38982
99	6665	38927
100	6723	38812
101	6786	38724
102	6854	38667
103	6925	38624
104	6988	38534
105	7065	38525
106	7143	38520
107	7227	38546
108	7296	38489
109	7372	38468
110	7437	38394
111	7505	38333
112	7564	38225
113	7630	38150
114	7697	38087
115	7760	38001
116	7828	37937
117	7893	37861
118	7962	37806
119	8021	37702
120	8100	37691
121	8163	37605
122	8224	37513
123	8301	37489
124	8378	37470
125	8446	37405
126	8503	37294
127	8569	37225
128	8637	37161
129	8706	37103
130	8773	37037
131	8833	36941
132	8904	36890
133	8963	36788
134	9023	36697
135	9091	36633
136	9159	36570
137	9233	36534
138	9305	36486
139	9374	36426
140	9446	36378
141	9505	36280
142	9564	36184
143	9638	36145
144	9700	36057
145	9771	36007
146	9837	35938
147	9908	35883
148	9981	35838
149	10061	35817
150	10121	35726
151	10188	35658
152	10253	35584
153	10321	35520
154	10393	35472
155	10465	35420
156	10530	35347
157	10603	35299
158	10664	35213
159	10726	35129
160	10795	35069
161	10860	34996
162	10936	34957
163	11007	34903
164	11077	34845
165	11140	34763
166	11206	34693
167	11271	34620
168	11347	34579
169	11409	34497
170	11482	34446
171	11552	34387
172	11627	34343
173	11689	34262
174	11764	34218
175	11831	34149
176	11900	34087
177	11970	34028
178	12034	33952
179	12105	33894
180	12166	33811
181	12239	33760
182	12315	33715
183	12383	33651
184	12449	33578
185	12523	33531
186	12560	33383
187	12626	33312
188	12701	33266
189	12773	33210
190	12846	33158
191	12925	33122
192	12997	33065
193	13072	33018
194	13136	32942
195	13203	32874
196	13279	32829
197	13350	32770
198	13423	32715
199	13483	32630
200	13559	32584
201	13632	32530
202	13702	32468
203	13772	32407
204	13838	32335
205	13911	32280
206	13984	32226
207	14052	32159
208	14120	32091
209	14197	32045
210	14269	31987
211	14351	31952
212	14415	31875
213	14486	31815
214	14563	31768
215	14637	31714
216	14714	31665
217	14798	31634
218	14871	31575
219	14933	31497
220	14998	31422
221	15057	31336
222	15130	31278
223	15208	31231
224	15277	31166
225	15344	31096
226	15409	31022
227	15476	30953
228	15553	30902
229	15622	30836
230	15694	30777
231	15772	30730
232	15846	30672
233	15915	30605
234	15991	30554
235	16058	30483
236	16128	30418
237	16198	30356
238	16270	30294
239	16341	30232
240	16426	30194
241	16495	30127
242	16568	30067
243	16641	30009
244	16708	29939
245	16781	29879
246	16854	29819
247	16925	29756
248	16993	29688
249	17070	29634
250	17138	29565
251	17209	29502
252	17272	29425
253	17334	29346
254	17402	29276
255	17474	29214
256	17540	29143
257	17606	29071
258	17670	28995
259	17742	28933
260	17818	28877
261	17884	28805
262	17940	28719
263	18007	28648
264	18071	28572
265	18136	28499
266	18199	28423
267	18266	28354
268	18340	28294
269	18426	28254
270	18522	28228
271	18599	28172
272	18671	28109
273	18736	28035
274	18798	27958
275	18865	27887
276	18935	27821
277	18975	27712
278	19043	27644
279	19104	27565
280	19172	27497
281	19235	27420
282	19303	27352
283	19378	27293
284	19450	27230
285	19525	27171
286	19590	27099
287	19668	27044
288	19728	26964
289	19788	26885
290	19852	26810
291	19913	26733
292	19976	26657
293	20051	26598
294	20122	26534
295	20195	26472
296	20271	26413
297	20337	26343
298	20406	26276
299	20476	26209
300	20548	26146
301	20628	26092
302	20697	26026
303	20770	25963
304	20832	25886
305	20909	25829
306	20985	25771
307	21065	25716
308	21133	25647
309	21198	25574
310	21263	25503
311	21336	25439
312	21404	25371
313	21474	25304
314	21551	25246
315	21626	25185
316	21688	25109
317	21755	25039
318	21823	24970
319	21895	24906
320	21964	24838
321	22033	24770
322	22097	24696
323	22174	24638
324	22238	24564
325	22319	24509
326	22380	24433
327	22451	24368
328	22525	24306
329	22596	24240
330	22664	24171
331	22744	24114
332	22817	24050
333	22906	24003
334	22975	23935
335	23051	23875
336	23131	23817
337	23203	23752
338	23277	23689
339	23354	23629
340	23429	23566
341	23493	23493
342	23558	23421
343	23627	23352
344	23702	23290
345	23773	23223
346	23838	23151
347	23904	23080
348	23967	23005
349	24037	22939
350	24107	22871
351	24179	22806
352	24248	22737
353	24321	22672
354	24400	22613
355	24464	22540
356	24527	22466
357	24602	22403
358	24678	22341
359	24761	22285
360	24842	22227
361	24929	22175
362	24998	22106
363	25065	22035
364	25129	21962
365	25193	21889
366	25256	21815
367	25332	21752
368	25401	21684
369	25480	21624
370	25546	21552
371	25608	21478
372	25673	21406
373	25749	21343
374	25792	21252
375	25862	21185
376	25930	21115
377	25999	21047
378	26059	20971
379	26127	20901
380	26203	20838
381	26265	20765
382	26338	20699
383	26410	20632
384	26474	20560
385	26543	20491
386	26617	20427
387	26654	20334
388	26730	20270
389	26797	20201
390	26861	20129
391	26932	20062
392	26997	19990
393	27074	19928
394	27154	19867
395	27221	19797
396	27296	19732
397	27372	19669
398	27435	19596
399	27515	19535
400	27577	19462
401	27642	19391
402	27712	19323
403	27774	19249
404	27838	19177
405	27911	19111
406	27976	19040
407	28046	18972
408	28112	18902
409	28191	18840
410	28265	18774
411	28341	18711
412	28421	18649
413	28488	18579
414	28566	18516
415	28639	18450
416	28714	18385
417	28778	18313
418	28840	18240
419	28922	18179
420	28993	18112
421	29060	18042
422	29131	17974
423	29195	17902
424	29263	17833
425	29334	17765
426	29393	17690
427	29459	17620
428	29539	17558
429	29605	17487
430	29666	17414
431	29731	17343
432	29803	17276
433	29868	17205
434	29933	17134
435	29997	17062
436	30068	16995
437	30141	16928
438	30206	16858
439	30282	16792
440	30349	16723
441	30415	16652
442	30486	16585
443	30556	16517
444	30628	16449
445	30704	16385
446	30780	16319
447	30855	16254
448	30928	16187
449	31000	16120
450	31067	16050
451	31128	15977
452	31191	15905
453	31258	15836
454	31322	15764
455	31400	15700
456	31474	15633
457	31548	15567
458	31617	15498
459	31690	15431
460	31753	15360
461	31824	15292
462	31889	15221
463	31954	15150
464	32025	15082
465	32097	15015
466	32171	14948
467	32246	14883
468	32318	14815
469	32378	14742
470	32448	14674
471	32521	14607
472	32593	14539
473	32669	14473
474	32740	14405
475	32813	14338
476	32882	14269
477	32955	14202
478	33033	14137
479	33103	14069
480	33176	14001
481	33246	13933
482	33320	13866
483	33408	13805
484	33481	13737
485	33569	13676
486	33648	13611
487	33717	13542
488	33801	13479
489	33885	13415
490	33967	13351
491	34043	13285
492	34115	13217
493	34190	13150
494	34263	13082
495	34344	13017
496	34423	12952
497	34494	12883
498	34561	12813
499	34632	12744
500	34710	12678
501	34802	12617
502	34871	12548
503	34954	12483
504	35026	12415
505	35090	12344
506	35173	12279
507	35255	12214
508	35328	12146
509	35423	12085
510	35489	12015
511	35561	11946
512	35640	11880
513	35712	11811
514	35783	11742
515	35864	11676
516	35936	11608
517	36017	11542
518	36090	11473
519	36171	11407
520	36248	11340
521	36320	11271
522	36390	11202
523	36468	11135
524	36539	11066
525	36608	10996
526	36670	10924
527	36741	10855
528	36809	10785
529	36878	10715
530	36946	10645
531	37019	10576
